ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,-1,80.89328,-1,80.53205,1,80.71879,1,80.905525,1,81.09226
51,1,34.446735,1,34.633472,1,34.82021,1,35.006947,1,35.193684
52,1,51.58674,1,51.773476,1,51.960213,1,52.14695,1,52.333687
53,1,36.49674,1,36.683475,1,36.870213,1,37.05695,1,37.243687
54,1,24.796738,1,24.983475,1,25.170212,1,25.356949,1,25.543686
55,1,17.746737,1,17.933474,1,18.12021,1,18.306948,1,18.493685
56,1,26.506737,1,26.693474,1,26.88021,1,27.066948,1,27.253685
57,1,50.33674,1,50.523476,1,50.710213,1,50.89695,1,51.083687
58,1,47.936737,1,48.123474,1,48.31021,1,48.49695,1,48.683685
59,1,43.01674,1,43.203476,1,43.390213,1,43.57695,1,43.763687
6201,1,14.666736,1,14.853472,1,15.040208,1,15.226944,1,15.41368
6203,1,38.31674,1,38.503475,1,38.690212,1,38.87695,1,39.063686
6204,1,55.236736,1,55.423473,1,55.61021,1,55.796947,1,55.983685
6208,1,47.936737,1,48.123474,1,48.31021,1,48.49695,1,48.683685
690,1,22.356737,1,22.543474,1,22.730211,1,22.916948,1,23.103685
692,1,21.366737,1,21.553474,1,21.740211,1,21.926949,1,22.113686
701,1,21.436737,1,21.623474,1,21.810211,1,21.996948,1,22.183685
713,1,31.026737,1,31.213474,1,31.400211,1,31.586948,1,31.773685
