ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,-1,81.80327,-1,81.46456,-1,73.292625,-1,72.9133,1,82.14224
51,1,34.36486,1,34.470665,1,34.595276,1,34.611988,1,34.901375
52,1,51.520435,-1,51.519203,-1,51.43806,-1,50.873646,-1,50.449654
53,1,36.53528,1,36.70348,-1,36.55859,-1,36.011475,1,36.04378
54,1,24.714863,1,24.820667,1,24.94528,1,24.96199,1,25.251375
55,1,17.59113,1,17.823738,-1,17.698444,1,17.738686,1,17.814426
56,1,26.75371,1,26.967323,1,27.05917,-1,27.048117,-1,26.908653
57,1,50.400093,1,50.61709,-1,50.565956,-1,50.02816,-1,49.84581
58,1,47.854862,1,47.960667,1,48.085278,1,48.10199,1,48.391376
59,1,42.91114,1,43.174213,-1,42.694843,-1,42.388107,-1,41.447327
6201,-1,14.407988,1,14.537656,1,14.938298,1,14.986606,-1,13.098214
6203,1,38.355278,1,38.52348,-1,38.37859,-1,37.831474,1,37.86378
6204,1,55.09305,1,55.58877,-1,55.064133,-1,54.56906,1,54.842518
6208,1,47.918503,1,48.51622,-1,48.18677,-1,48.037018,1,48.431957
690,1,22.274862,1,22.380667,1,22.50528,1,22.52199,1,22.811375
692,1,21.191633,-1,21.159716,-1,21.107584,1,21.150782,-1,21.068233
701,-1,21.244255,1,21.645836,-1,21.222898,1,21.375273,1,21.609869
713,-1,30.675936,1,30.826298,-1,30.724766,1,30.856194,-1,30.699398
