ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,1.0,82.39977264404297,1.0,82.49696350097656,-1.0,81.43206024169922,-1.0,80.65442657470703,-1.0,80.33574676513672
51,1.0,34.537353515625,-1.0,33.832523345947266,1.0,34.173423767089844,1.0,34.237579345703125,-1.0,33.140281677246094
52,1.0,51.60234451293945,1.0,51.67570877075195,-1.0,51.54110336303711,-1.0,51.167606353759766,1.0,52.34705352783203
53,-1.0,36.28773880004883,-1.0,35.69829559326172,-1.0,35.066070556640625,1.0,35.49518585205078,1.0,37.41532897949219
54,-1.0,24.48348617553711,-1.0,24.178747177124023,1.0,24.961265563964844,1.0,25.965377807617188,-1.0,25.911367416381836
55,-1.0,17.490102767944336,1.0,17.719322204589844,-1.0,17.51582908630371,1.0,17.769466400146484,1.0,17.967985153198242
56,-1.0,26.109359741210938,1.0,26.869535446166992,-1.0,26.65967559814453,-1.0,26.54974365234375,-1.0,25.921796798706055
57,1.0,50.462371826171875,-1.0,49.686805725097656,1.0,50.907005310058594,1.0,52.89960861206055,-1.0,51.72419738769531
58,1.0,47.751800537109375,-1.0,47.407806396484375,1.0,50.353546142578125,-1.0,49.94814682006836,-1.0,48.85086441040039
59,-1.0,42.632972717285156,1.0,43.53675842285156,1.0,43.79367446899414,1.0,45.206302642822266,-1.0,43.55653381347656
6201,-1.0,14.240335464477539,1.0,14.557271957397461,-1.0,14.532419204711914,1.0,14.680978775024414,-1.0,14.380524635314941
6203,-1.0,37.93634796142578,1.0,38.759788513183594,1.0,39.373451232910156,-1.0,38.46605682373047,1.0,39.24676513671875
6204,-1.0,55.02851104736328,1.0,55.715999603271484,-1.0,54.20614242553711,1.0,56.032596588134766,1.0,56.15699768066406
6208,1.0,48.12388229370117,1.0,48.49403762817383,-1.0,48.16698455810547,1.0,48.5150032043457,1.0,49.263301849365234
690,-1.0,22.12991714477539,-1.0,21.886438369750977,1.0,22.83317756652832,1.0,23.160856246948242,-1.0,22.809673309326172
692,1.0,21.210012435913086,1.0,21.613645553588867,-1.0,21.501272201538086,-1.0,21.3328800201416,-1.0,20.85698699951172
701,-1.0,21.078433990478516,1.0,21.284032821655273,-1.0,20.992483139038086,1.0,21.172592163085938,1.0,21.504947662353516
713,-1.0,30.56279945373535,1.0,30.84912872314453,1.0,31.00194549560547,-1.0,30.436737060546875,1.0,30.651403427124023
