ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,-1.0,80.07117462158203,-1.0,79.78316497802734,1.0,81.59759521484375,-1.0,80.34590148925781,1.0,83.23904418945312
51,-1.0,34.21278762817383,-1.0,34.12773513793945,1.0,34.24131774902344,1.0,34.36480712890625,-1.0,33.800193786621094
52,-1.0,51.369930267333984,1.0,51.657142639160156,1.0,51.784767150878906,-1.0,51.61262512207031,1.0,52.60614776611328
53,1.0,36.775909423828125,1.0,37.56351852416992,1.0,37.60831832885742,-1.0,37.0454216003418,1.0,37.50368881225586
54,1.0,24.8984432220459,1.0,25.630760192871094,1.0,25.86133575439453,1.0,26.145347595214844,-1.0,25.641101837158203
55,-1.0,17.418991088867188,1.0,17.823196411132812,1.0,18.07127571105957,-1.0,18.055559158325195,-1.0,17.831710815429688
56,1.0,26.892732620239258,-1.0,26.702951431274414,1.0,27.444780349731445,-1.0,26.914695739746094,-1.0,26.76197052001953
57,-1.0,48.98728942871094,-1.0,47.81857681274414,1.0,48.30265808105469,1.0,49.25106430053711,-1.0,48.311317443847656
58,-1.0,47.52641296386719,1.0,48.594024658203125,1.0,49.723506927490234,1.0,49.78169250488281,-1.0,49.02449417114258
59,1.0,43.62839126586914,-1.0,43.303863525390625,-1.0,42.87276077270508,1.0,44.26079559326172,-1.0,44.22016143798828
6201,1.0,14.55620002746582,1.0,15.010994911193848,-1.0,14.919707298278809,1.0,15.27786922454834,-1.0,14.780767440795898
6203,1.0,38.776222229003906,-1.0,38.58773422241211,-1.0,37.382728576660156,1.0,38.330299377441406,1.0,39.53884506225586
6204,1.0,55.396240234375,1.0,56.395904541015625,-1.0,56.21837615966797,-1.0,55.875736236572266,1.0,56.78227996826172
6208,1.0,48.29939651489258,1.0,49.04159927368164,-1.0,48.772953033447266,1.0,49.726806640625,1.0,50.395687103271484
690,-1.0,22.138654708862305,1.0,22.577781677246094,-1.0,22.533092498779297,-1.0,22.267444610595703,1.0,22.788623809814453
692,-1.0,20.364971160888672,-1.0,20.29334831237793,-1.0,20.284391403198242,-1.0,19.994461059570312,1.0,20.344497680664062
701,-1.0,20.930517196655273,-1.0,20.67840003967285,-1.0,20.42451286315918,1.0,20.48680877685547,-1.0,20.299610137939453
713,-1.0,30.52978515625,-1.0,29.977922439575195,-1.0,29.912906646728516,1.0,30.53067398071289,-1.0,30.14858055114746
