ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,1,81.35399381769821,-1,80.48228015424684,-1,80.34030487574637,-1,80.63970024185255,1,81.68056676723063
51,-1,33.708772575482726,-1,33.72281554527581,1,34.426078610122204,-1,33.73199091292918,-1,33.96858722018078
52,-1,50.54574871994555,-1,50.38382791355252,-1,50.60247585223988,-1,50.115027107298374,-1,50.138651959598064
53,-1,35.385745234787464,1,36.95941000431776,-1,35.765082243829966,-1,35.94202176388353,-1,35.283427745103836
54,-1,23.981675347778946,-1,23.967930818907917,1,24.243523322045803,1,24.023142005782574,1,24.263881132006645
55,1,17.076884425245225,-1,16.927813223097473,1,17.00716382882092,1,17.28467445448041,-1,16.9210810768418
56,-1,25.766809061169624,1,26.210861206054688,-1,25.76806634478271,-1,25.79477403871715,-1,25.697863969951868
57,1,50.391499465331435,-1,49.25733655691147,-1,49.62141057476401,-1,49.49015025049448,1,50.3666982287541
58,1,47.27193984668702,-1,46.80180838750675,1,47.02123067446519,-1,46.54409350827336,1,47.69577867817134
59,-1,41.86558056296781,-1,41.543440114706755,1,42.414785105735064,-1,41.91232463065535,1,42.313909001648426
6201,1,14.018684268463403,-1,13.933941694907844,1,14.08448620699346,1,14.153051029890776,-1,13.699069276452065
6203,1,38.00245080079185,1,38.32742171175778,-1,37.88180180313066,1,38.18657869566232,-1,37.06177559867501
6204,-1,54.63997240643948,1,55.590396649204195,1,56.072202110663056,1,55.4027694882825,-1,54.70311729237437
6208,-1,46.93716293992475,-1,46.903685816098005,1,47.62521699164063,-1,46.31449022702873,1,47.04018415149767
690,-1,21.717826046049595,1,22.258748441934586,-1,21.87899708095938,-1,21.51049929484725,1,22.196940131485462
692,1,21.188791310414672,1,21.55310476385057,-1,20.760536980815232,-1,20.846294641960412,1,21.313230933621526
701,-1,20.770707512274384,1,21.490219596773386,1,21.06252723536454,-1,20.79721729271114,-1,20.943901947699487
713,-1,29.772188449278474,1,30.246904687955976,1,30.069906706921756,-1,29.968393435701728,-1,29.92186301155016
