ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,-1.0,81.9604948268,-1.0,81.9833983296,-1.0,82.0287432344,1.0,82.0379512696,1.0,82.0481130748
51,1.0,34.2669773963,-1.0,34.2668033534,1.0,34.2762553237,1.0,34.2891517592,1.0,34.2958896224
52,1.0,51.4282645696,-1.0,51.4565446817,-1.0,51.4848403449,-1.0,51.5131515677,-1.0,51.5414783587
53,-1.0,36.368582421,1.0,36.3436048197,-1.0,36.380907287,-1.0,36.4093932927,1.0,36.4314549548
54,-1.0,24.6327246617,1.0,24.6368303688,1.0,24.6202067331,1.0,24.6119490178,1.0,24.5973392937
55,1.0,17.5874690371,1.0,17.6132342284,1.0,17.6154361671,1.0,17.6073256309,1.0,17.5977304191
56,1.0,26.3277351017,1.0,26.3354724766,1.0,26.3432121254,1.0,26.3509540489,-1.0,26.3586982475
57,1.0,50.1611108397,-1.0,50.171430207,1.0,50.1866667468,1.0,50.1996967244,-1.0,50.2179697796
58,1.0,47.747353072,1.0,47.713190698,-1.0,47.7019939405,1.0,47.6960741154,1.0,47.6734829728
59,-1.0,42.8510751356,1.0,42.8846002862,-1.0,42.9207370127,-1.0,42.9649600138,-1.0,43.0073798119
6201,1.0,14.4859946776,-1.0,14.4919918369,-1.0,14.4979914791,1.0,14.5039936051,1.0,14.5099982159
6203,1.0,38.1343310991,1.0,38.1415183482,1.0,38.1689913402,-1.0,38.1772366494,1.0,38.1904258385
6204,1.0,55.0761476289,1.0,55.1082910315,1.0,55.146893535,1.0,55.1872437264,1.0,55.2154755766
6208,1.0,47.7695286758,1.0,47.7965418298,1.0,47.8334141407,1.0,47.8604688951,1.0,47.8991975638
690,-1.0,22.1786719944,-1.0,22.1935288951,-1.0,22.2138473211,1.0,22.2503372852,1.0,22.2775263838
692,-1.0,21.1761875266,1.0,21.1784946664,1.0,21.1874262751,-1.0,21.2085818075,1.0,21.2100444825
701,1.0,21.2717146968,1.0,21.3127222789,1.0,21.3432683119,1.0,21.3997847676,1.0,21.4622213846
713,-1,30.8529279661,1,30.8783279151,-1,30.903346187,-1,30.9240870124,-1,30.93805154
