"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","549,000","1,242,000","-693,000","0","0","0","9,764,000","7,868,000","1,896,000","5,279,000",
="0055","元大MSCI金融    ","591,000","580,000","11,000","0","0","0","1,278,000","1,022,000","256,000","777,000",
="0051","元大中型100     ","161,000","0","161,000","0","0","0","0","0","0","161,000",
="0052","富邦科技        ","92,000","0","92,000","0","0","0","20,000","18,000","2,000","108,000",
="0059","富邦金融        ","59,000","0","59,000","0","0","0","0","0","0","59,000",
="0054","元大台商50      ","56,000","0","56,000","0","0","0","0","0","0","56,000",
="006208","富邦台50        ","0","0","0","0","0","0","23,000","23,000","0","23,000",
="0053","元大電子        ","20,000","0","20,000","0","0","0","0","0","0","20,000",
="006203","元大MSCI台灣    ","7,000","0","7,000","0","0","0","0","0","0","7,000",
="0060","新台灣          ","0","0","0","0","0","0","4,000","4,000","0","4,000",
="0057","富邦摩台        ","0","4,000","-4,000","0","0","0","0","0","0","-4,000",
="0058","富邦發達        ","0","0","0","0","0","0","42,000","3,000","39,000","-36,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","188,100","46,000","142,100","-96,100",
="006206","元大上證50      ","0","105,000","-105,000","0","0","0","4,477,000","2,105,000","2,372,000","-372,000",
="0056","元大高股息      ","0","349,000","-349,000","0","0","0","108,000","21,000","87,000","-415,000",
="006207","FH滬深          ","0","165,000","-165,000","0","350,000","-350,000","1,256,000","536,000","720,000","-699,000",
="006205","富邦上証        ","5,000","2,566,000","-2,561,000","1,060,000","1,236,000","-176,000","4,725,000","1,819,000","2,906,000","-3,824,000",
="0061","元大寶滬深      ","0","3,672,000","-3,672,000","0","4,294,000","-4,294,000","17,212,000","5,236,000","11,976,000","-14,706,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
