"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="0056","元大高股息      ","0","100,000","-100,000","0","0","0","6,859,000","0","50,000","-50,000","6,909,000","0","6,909,000","6,759,000",
="0050","元大台灣50      ","6,103,000","1,402,000","4,701,000","0","0","0","1,219,000","350,000","0","350,000","1,058,000","189,000","869,000","5,920,000",
="00639","富邦深100       ","358,000","0","358,000","0","0","0","1,121,000","90,000","10,000","80,000","1,537,000","496,000","1,041,000","1,479,000",
="00632R","元大台灣50反1   ","4,725,000","0","4,725,000","0","0","0","-3,512,000","665,000","400,000","265,000","17,932,000","21,709,000","-3,777,000","1,213,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","981,000","0","0","0","981,000","0","981,000","981,000",
="00631L","元大台灣50正2   ","289,000","0","289,000","0","0","0","463,000","30,000","35,000","-5,000","919,000","451,000","468,000","752,000",
="00635U","元大S&P黃金     ","0","8,000","-8,000","0","0","0","663,000","69,000","0","69,000","886,000","292,000","594,000","655,000",
="00641R","富邦日本反1     ","112,000","0","112,000","0","0","0","393,000","0","0","0","718,000","325,000","393,000","505,000",
="00653L","富邦印度正2     ","264,000","0","264,000","0","0","0","171,000","0","0","0","261,000","90,000","171,000","435,000",
="00648R","元大S&P500反1   ","0","0","0","0","0","0","392,000","0","0","0","875,000","483,000","392,000","392,000",
="00643","群益深証中小    ","0","1,000","-1,000","0","0","0","368,000","280,000","0","280,000","619,000","531,000","88,000","367,000",
="00673R","元大S&P原油反1  ","154,000","377,000","-223,000","0","0","0","558,000","0","0","0","662,000","104,000","558,000","335,000",
="00663L","國泰臺灣加權正2 ","5,000","0","5,000","0","0","0","128,000","0","0","0","586,000","458,000","128,000","133,000",
="00650L","FH香港正2       ","151,000","0","151,000","0","0","0","-36,000","0","0","0","85,000","121,000","-36,000","115,000",
="00667","元大韓國        ","0","0","0","0","0","0","82,000","0","0","0","162,000","80,000","82,000","82,000",
="006207","FH滬深          ","0","0","0","0","0","0","60,000","78,000","0","78,000","271,000","289,000","-18,000","60,000",
