"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00637L","元大滬深300正2  ","16,383,000","222,000","16,161,000","0","0","0","0","0","0","15,859,000","215,000","0","215,000","39,934,000","24,290,000","15,644,000","32,020,000",
="00632R","元大台灣50反1   ","4,713,000","0","4,713,000","0","0","0","0","0","0","7,945,000","850,000","780,000","70,000","10,693,000","2,818,000","7,875,000","12,658,000",
="00655L","國泰中國A50正2  ","3,433,000","9,000","3,424,000","0","0","0","0","0","0","5,408,000","0","0","0","11,007,000","5,599,000","5,408,000","8,832,000",
="00633L","富邦上証正2     ","5,268,000","41,000","5,227,000","0","0","0","0","0","0","1,954,000","141,000","702,000","-561,000","10,351,000","7,836,000","2,515,000","7,181,000",
="006206","元大上證50      ","1,452,000","13,000","1,439,000","0","0","0","0","0","0","933,000","10,000","80,000","-70,000","1,976,000","973,000","1,003,000","2,372,000",
="00636","國泰中國A50     ","418,000","6,000","412,000","0","0","0","150,000","0","150,000","1,741,095","910,000","85,000","825,000","2,689,095","1,773,000","916,095","2,303,095",
="0061","元大寶滬深      ","0","0","0","0","0","0","0","0","0","1,838,568","0","0","0","2,503,568","665,000","1,838,568","1,838,568",
="00673R","元大S&P原油反1  ","1,103,000","0","1,103,000","0","0","0","0","0","0","689,000","0","0","0","1,036,000","347,000","689,000","1,792,000",
="0056","元大高股息      ","0","0","0","0","0","0","0","100,000","-100,000","1,504,000","150,000","50,000","100,000","1,432,000","28,000","1,404,000","1,404,000",
="006205","富邦上証        ","1,236,000","0","1,236,000","0","0","0","0","0","0","37,000","0","90,000","-90,000","1,641,000","1,514,000","127,000","1,273,000",
="00664R","國泰臺灣加權反1 ","106,000","0","106,000","0","0","0","0","0","0","893,000","0","50,000","-50,000","1,123,000","180,000","943,000","999,000",
="00677U","富邦VIX         ","2,000","700,000","-698,000","0","0","0","0","0","0","1,635,000","0","0","0","2,323,000","688,000","1,635,000","937,000",
="00665L","富邦H股正2      ","0","0","0","0","0","0","0","0","0","589,000","0","0","0","780,000","191,000","589,000","589,000",
="006207","FH滬深          ","223,000","0","223,000","0","0","0","0","0","0","196,000","0","0","0","283,000","87,000","196,000","419,000",
="00635U","元大S&P黃金     ","290,000","0","290,000","0","0","0","0","0","0","82,000","0","0","0","289,000","207,000","82,000","372,000",
="00701","國泰臺灣低波動30","0","0","0","0","0","0","0","0","0","231,000","0","0","0","249,000","18,000","231,000","231,000",
="00675L","富邦臺灣加權正2 ","0","161,000","-161,000","0","0","0","0","0","0","375,000","250,000","0","250,000","725,000","600,000","125,000","214,000",
="00678","群益NBI生技     ","185,000","0","185,000","0","0","0","0","0","0","7,000","0","0","0","308,000","301,000","7,000","192,000",
="00642U","元大S&P石油     ","0","0","0","0","0","0","0","0","0","190,000","0","0","0","1,071,000","881,000","190,000","190,000",
="00703","台新MSCI中國    ","0","0","0","0","0","0","0","0","0","177,000","0","0","0","379,000","202,000","177,000","177,000",
="00641R","富邦日本反1     ","112,000","0","112,000","0","0","0","0","0","0","29,000","0","0","0","297,000","268,000","29,000","141,000",
="00690","兆豐藍籌30      ","0","0","0","0","0","0","0","0","0","83,000","0","0","0","603,000","520,000","83,000","83,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","0","0","0","71,000","0","0","0","71,000","0","71,000","71,000",
="00671R","富邦NASDAQ反1   ","0","10,000","-10,000","0","0","0","0","0","0","81,000","0","0","0","99,000","18,000","81,000","71,000",
="00649","FH香港          ","55,000","0","55,000","0","0","0","0","0","0","15,000","0","0","0","44,000","29,000","15,000","70,000",
="0051","元大中型100     ","0","0","0","0","0","0","0","0","0","40,000","0","0","0","40,000","0","40,000","40,000",
="00653L","富邦印度正2     ","0","4,000","-4,000","0","0","0","0","0","0","37,000","0","0","0","79,000","42,000","37,000","33,000",
="00658L","國泰日本正2     ","0","0","0","0","0","0","0","0","0","22,000","0","0","0","364,000","342,000","22,000","22,000",
="00709","富邦歐洲        ","0","0","0","0","0","0","0","0","0","20,000","0","0","0","120,000","100,000","20,000","20,000",
="00659R","國泰日本反1     ","0","0","0","0","0","0","0","0","0","17,000","0","0","0","36,000","19,000","17,000","17,000",
="00650L","FH香港正2       ","0","1,000","-1,000","0","0","0","0","0","0","13,000","0","0","0","145,000","132,000","13,000","12,000",
="00713","元大台灣高息低波","0","0","0","0","0","0","0","0","0","11,000","0","0","0","12,000","1,000","11,000","11,000",
="008201","BP上證50        ","0","0","0","0","0","0","0","0","0","10,000","0","0","0","10,000","0","10,000","10,000",
="00681R","元大美債20反1   ","3,000","0","3,000","0","0","0","0","0","0","1,000","0","0","0","1,000","0","1,000","4,000",
="00670L","富邦NASDAQ正2   ","0","0","0","0","0","0","0","0","0","1,000","0","0","0","37,000","36,000","1,000","1,000",
="00668","國泰美國道瓊    ","1,000","0","1,000","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","1,000",
="00657K","國泰日經225+U   ","0","0","0","0","0","0","0","0","0","0","0","0","0","149,900","149,900","0","0",
="00666R","富邦H股反1      ","0","5,000","-5,000","0","0","0","0","0","0","5,000","0","0","0","113,000","108,000","5,000","0",
="00625K","富邦上証+R      ","0","0","0","0","0","0","0","0","0","0","0","0","0","50,000","50,000","0","0",
="00714","群益道瓊美國地產","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","0",
="00688L","國泰20年美債正2 ","0","0","0","0","0","0","0","0","0","0","0","0","0","200,000","200,000","0","0",
="00704L","台新MSCI台灣正2 ","0","0","0","0","0","0","0","0","0","0","0","0","0","652,000","652,000","0","0",
="00705R","台新MSCI台灣反1 ","0","0","0","0","0","0","0","0","0","0","0","0","0","331,000","331,000","0","0",
="00668K","國泰美國道瓊+U  ","0","0","0","0","0","0","0","0","0","-200","0","0","0","160,000","160,200","-200","-200",
="00661","元大日經225     ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="00636K","國泰中國A50+U   ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","160,200","161,200","-1,000","-1,000",
="00646","元大S&P500      ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="0054","元大台商50      ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="0058","富邦發達        ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="0059","富邦金融        ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="0057","富邦摩台        ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="0053","元大電子        ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="00667","元大韓國        ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="00660","元大歐洲50      ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","1,000","3,000","-2,000","-2,000",
="00657","國泰日經225     ","0","100,000","-100,000","0","0","0","0","0","0","98,000","0","0","0","344,000","246,000","98,000","-2,000",
="00685L","群益臺灣加權正2 ","0","0","0","0","0","0","0","0","0","-3,000","0","0","0","8,000","11,000","-3,000","-3,000",
="0052","富邦科技        ","0","0","0","0","0","0","0","0","0","-4,000","0","0","0","2,000","6,000","-4,000","-4,000",
="00638R","元大滬深300反1  ","0","9,000","-9,000","0","0","0","0","0","0","2,000","0","0","0","33,000","31,000","2,000","-7,000",
="00654R","富邦印度反1     ","0","0","0","0","0","0","0","0","0","-7,000","0","0","0","6,000","13,000","-7,000","-7,000",
="00707R","元大S&P日圓反1  ","0","0","0","0","0","0","0","0","0","-7,000","0","0","0","223,000","230,000","-7,000","-7,000",
="00715L","華頓S&P布蘭特正2","0","0","0","0","0","0","0","0","0","-8,000","0","0","0","3,000","11,000","-8,000","-8,000",
="00700","富邦H股         ","39,000","0","39,000","0","0","0","0","0","0","-50,000","0","0","0","40,000","90,000","-50,000","-11,000",
="00711B","FH彭博新興債    ","0","0","0","0","0","0","0","20,000","-20,000","9,000","0","0","0","9,000","0","9,000","-11,000",
="00712","FH富時不動產    ","0","0","0","0","0","0","0","9,000","-9,000","-2,000","0","0","0","0","2,000","-2,000","-11,000",
="00693U","華頓S&P黃豆     ","0","0","0","0","0","0","0","0","0","-17,000","0","0","0","20,000","37,000","-17,000","-17,000",
="00674R","元大S&P黃金反1  ","0","0","0","0","0","0","0","0","0","-18,000","0","0","0","13,000","31,000","-18,000","-18,000",
="00689R","國泰20年美債反1 ","0","20,000","-20,000","0","0","0","0","0","0","1,000","0","0","0","201,000","200,000","1,000","-19,000",
="00684R","元大美元指數反1 ","0","0","0","0","0","0","0","0","0","-20,000","0","0","0","0","20,000","-20,000","-20,000",
="00706L","元大S&P日圓正2  ","0","0","0","0","0","0","0","0","0","-20,000","62,000","0","62,000","41,000","123,000","-82,000","-20,000",
="00645","富邦日本        ","0","0","0","0","0","0","0","0","0","-21,000","0","0","0","62,000","83,000","-21,000","-21,000",
="00662","富邦NASDAQ      ","0","0","0","0","0","0","0","0","0","-27,000","0","0","0","5,000","32,000","-27,000","-27,000",
="006208","富邦台50        ","0","0","0","0","0","0","0","0","0","-39,000","0","0","0","4,000","43,000","-39,000","-39,000",
="00702","國泰標普低波高息","75,000","0","75,000","0","0","0","0","0","0","-122,000","0","0","0","0","122,000","-122,000","-47,000",
="00686R","群益臺灣加權反1 ","0","0","0","0","0","0","0","0","0","-47,000","0","0","0","518,000","565,000","-47,000","-47,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","0","0","0","-62,000","0","0","0","0","62,000","-62,000","-62,000",
="00682U","元大美元指數    ","0","0","0","0","0","0","0","0","0","-62,000","0","0","0","0","62,000","-62,000","-62,000",
="00651R","FH香港反1       ","0","0","0","0","0","0","0","0","0","-67,000","0","0","0","16,000","83,000","-67,000","-67,000",
="00652","富邦印度        ","0","0","0","0","0","0","0","0","0","-72,000","0","0","0","0","72,000","-72,000","-72,000",
="00639","富邦深100       ","0","773,000","-773,000","0","0","0","0","0","0","604,793","0","160,000","-160,000","860,793","96,000","764,793","-168,207",
="00640L","富邦日本正2     ","2,000","9,000","-7,000","0","0","0","0","0","0","-202,000","0","0","0","482,000","684,000","-202,000","-209,000",
="00631L","元大台灣50正2   ","17,000","55,000","-38,000","0","0","0","0","0","0","-173,000","0","0","0","456,000","629,000","-173,000","-211,000",
="00669R","國泰美國道瓊反1 ","0","0","0","0","0","0","0","0","0","-239,000","0","0","0","38,000","277,000","-239,000","-239,000",
="00648R","元大S&P500反1   ","0","318,000","-318,000","0","0","0","0","0","0","17,000","0","0","0","83,000","66,000","17,000","-301,000",
="00692","富邦公司治理    ","0","0","0","0","0","0","0","0","0","-301,000","0","0","0","423,000","724,000","-301,000","-301,000",
="00663L","國泰臺灣加權正2 ","116,000","0","116,000","0","0","0","0","0","0","-430,000","0","0","0","162,000","592,000","-430,000","-314,000",
="00656R","國泰中國A50反1  ","0","0","0","0","0","0","0","0","0","-442,000","0","0","0","312,000","754,000","-442,000","-442,000",
="00708L","元大S&P黃金正2  ","0","359,000","-359,000","0","0","0","0","0","0","-129,000","0","0","0","281,000","410,000","-129,000","-488,000",
="00717","富邦美國特別股  ","0","0","0","0","0","0","0","0","0","-514,000","0","158,000","-158,000","299,000","655,000","-356,000","-514,000",
="00676R","富邦臺灣加權反1 ","0","38,000","-38,000","0","0","0","0","0","0","-595,000","0","725,000","-725,000","1,342,000","1,212,000","130,000","-633,000",
="00634R","富邦上証反1     ","0","115,000","-115,000","0","0","0","0","0","0","-531,000","0","0","0","54,000","585,000","-531,000","-646,000",
="00643","群益深証中小    ","0","118,000","-118,000","0","0","0","0","0","0","-634,000","0","90,000","-90,000","349,000","893,000","-544,000","-752,000",
="00683L","元大美元指數正2 ","0","0","0","0","0","0","0","0","0","-1,680,000","0","0","0","0","1,680,000","-1,680,000","-1,680,000",
="00672L","元大S&P原油正2  ","1,942,000","1,440,000","502,000","0","0","0","0","0","0","-3,828,000","0","0","0","579,000","4,407,000","-3,828,000","-3,326,000",
